Fund Holdings as of,"24/Feb/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"SPLK","SPLUNK INC","Equity","1.14","152.53","316,085.00","48,212,445.05","48,212,445.05","Information Technology","US8486371045","NASDAQ","United States","USD"
"AZPN","ASPEN TECHNOLOGY INC","Equity","1.14","154.34","311,045.00","48,006,685.30","48,006,685.30","Information Technology","US0453271035","NASDAQ","United States","USD"
"6963","ROHM LTD","Equity","1.03","101.85","426,704.00","43,461,897.96","43,461,897.96","Information Technology","JP3982800009","Tokyo Stock Exchange","Japan","JPY"
"ESTC","ELASTIC NV","Equity","1.01","156.70","273,120.00","42,797,904.00","42,797,904.00","Information Technology","NL0013056914","New York Stock Exchange Inc.","United States","USD"
"SGE","SAGE GROUP PLC","Equity","0.98","8.09","5,133,362.00","41,540,458.91","41,540,458.91","Information Technology","GB00B8C3BL03","London Stock Exchange","United Kingdom","GBP"
"IPGP","IPG PHOTONICS CORP","Equity","0.97","231.08","176,708.00","40,833,684.64","40,833,684.64","Information Technology","US44980X1090","NASDAQ","United States","USD"
"IPHI","INPHI CORP","Equity","0.82","166.27","209,183.00","34,780,857.41","34,780,857.41","Information Technology","US45772F1075","NASDAQ","United States","USD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.79","119.13","280,072.00","33,364,977.36","33,364,977.36","Industrials","US5339001068","NASDAQ","United States","USD"
"SLAB","SILICON LABORATORIES INC","Equity","0.77","162.53","199,233.00","32,381,339.49","32,381,339.49","Information Technology","US8269191024","NASDAQ","United States","USD"
"MSTR","MICROSTRATEGY INC CLASS A","Equity","0.73","817.69","37,698.00","30,825,277.62","30,825,277.62","Information Technology","US5949724083","NASDAQ","United States","USD"
"LSCC","LATTICE SEMICONDUCTOR CORP","Equity","0.72","49.36","611,727.00","30,194,844.72","30,194,844.72","Information Technology","US5184151042","NASDAQ","United States","USD"
"6845","AZBIL CORP","Equity","0.71","44.74","665,056.00","29,757,544.15","29,757,544.15","Information Technology","JP3937200008","Tokyo Stock Exchange","Japan","JPY"
"CDK","CDK GLOBAL INC","Equity","0.69","52.36","556,030.00","29,113,730.80","29,113,730.80","Information Technology","US12508E1010","NASDAQ","United States","USD"
"COHR","COHERENT INC","Equity","0.65","247.50","110,621.00","27,378,697.50","27,378,697.50","Information Technology","US1924791031","NASDAQ","United States","USD"
"KGX","KION GROUP AG","Equity","0.61","86.92","297,488.00","25,857,158.67","25,857,158.67","Industrials","DE000KGX8881","Xetra","Germany","EUR"
"6841","YOKOGAWA ELECTRIC CORP","Equity","0.58","19.77","1,230,187.00","24,316,907.33","24,316,907.33","Information Technology","JP3955000009","Tokyo Stock Exchange","Japan","JPY"
"SXS","SPECTRIS PLC","Equity","0.57","43.68","555,038.00","24,241,619.89","24,241,619.89","Information Technology","GB0003308607","London Stock Exchange","United Kingdom","GBP"
"AYX","ALTERYX INC CLASS A","Equity","0.57","101.69","237,346.00","24,135,714.74","24,135,714.74","Information Technology","US02156B1035","New York Stock Exchange Inc.","United States","USD"
"G1A","GEA GROUP AG","Equity","0.56","35.03","677,898.00","23,749,495.48","23,749,495.48","Industrials","DE0006602006","Xetra","Germany","EUR"
"TDC","TERADATA CORP","Equity","0.53","43.68","509,002.00","22,233,207.36","22,233,207.36","Information Technology","US88076W1036","New York Stock Exchange Inc.","United States","USD"
"NOVT","NOVANTA INC","Equity","0.53","138.23","160,648.00","22,206,373.04","22,206,373.04","Information Technology","CA67000B1040","NASDAQ","United States","USD"
"KRNT","KORNIT DIGITAL LTD","Equity","0.51","115.00","186,528.00","21,450,720.00","21,450,720.00","Industrials","IL0011216723","NASDAQ","Israel","USD"
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.50","146.32","145,048.00","21,223,423.36","21,223,423.36","Industrials","US4778391049","New York Stock Exchange Inc.","United States","USD"
"VALMT","VALMET","Equity","0.49","33.92","609,970.00","20,689,422.99","20,689,422.99","Industrials","FI4000074984","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"DDD","3D SYSTEMS CORP","Equity","0.48","37.44","542,396.00","20,307,306.24","20,307,306.24","Information Technology","US88554D2053","New York Stock Exchange Inc.","United States","USD"
"AMBA","AMBARELLA INC","Equity","0.44","121.23","153,649.00","18,626,868.27","18,626,868.27","Information Technology","KYG037AX1015","NASDAQ","United States","USD"
"PRLB","PROTO LABS INC","Equity","0.44","151.58","122,564.00","18,578,251.12","18,578,251.12","Industrials","US7437131094","New York Stock Exchange Inc.","United States","USD"
"CRNC","CERENCE INC","Equity","0.44","111.12","166,717.00","18,525,593.04","18,525,593.04","Information Technology","US1567271093","NASDAQ","United States","USD"
"AIMC","ALTRA INDUSTRIAL MOTION CORP","Equity","0.43","61.07","295,938.00","18,072,933.66","18,072,933.66","Industrials","US02208R1068","NASDAQ","United States","USD"
"HI","HILLENBRAND INC","Equity","0.39","47.55","344,774.00","16,394,003.70","16,394,003.70","Industrials","US4315711089","New York Stock Exchange Inc.","United States","USD"
"DIOD","DIODES INC","Equity","0.38","81.57","199,181.00","16,247,194.17","16,247,194.17","Information Technology","US2545431015","NASDAQ","United States","USD"
"NEM","NEMETSCHEK","Equity","0.38","64.25","251,022.00","16,127,975.23","16,127,975.23","Information Technology","DE0006452907","Xetra","Germany","EUR"
"IRBT","IROBOT CORP","Equity","0.37","122.10","128,288.00","15,663,964.80","15,663,964.80","Consumer Discretionary","US4627261005","NASDAQ","United States","USD"
"CLDR","CLOUDERA INC","Equity","0.37","16.60","943,444.00","15,661,170.40","15,661,170.40","Information Technology","US18914U1007","New York Stock Exchange Inc.","United States","USD"
"ONTO","ONTO INNOVATION INC","Equity","0.36","65.65","229,313.00","15,054,398.45","15,054,398.45","Information Technology","US6833441057","New York Stock Exchange Inc.","United States","USD"
"MXL","MAXLINEAR INC","Equity","0.32","43.26","309,074.00","13,370,541.24","13,370,541.24","Information Technology","US57776J1007","New York Stock Exchange Inc.","United States","USD"
"TOTS3","TOTVS SA","Equity","0.31","6.11","2,145,458.00","13,099,830.18","13,099,830.18","Information Technology","BRTOTSACNOR8","XBSP","Brazil","BRL"
"KCR","KONECRANES","Equity","0.31","44.37","294,996.00","13,088,485.78","13,088,485.78","Industrials","FI0009005870","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"RSW","RENISHAW PLC","Equity","0.30","82.26","154,996.00","12,750,254.60","12,750,254.60","Information Technology","GB0007323586","London Stock Exchange","United Kingdom","GBP"
"6856","HORIBA LTD","Equity","0.29","61.17","196,711.00","12,032,730.26","12,032,730.26","Information Technology","JP3853000002","Tokyo Stock Exchange","Japan","JPY"
"ALTR","ALTAIR ENGINEERING INC CLASS A","Equity","0.27","61.17","185,389.00","11,340,245.13","11,340,245.13","Information Technology","US0213691035","NASDAQ","United States","USD"
"NVMI","NOVA MEASURING INSTRUMENTS LTD","Equity","0.25","82.73","128,285.00","10,612,623.52","10,612,623.52","Information Technology","IL0010845571","Tel Aviv Stock Exchange","Israel","ILS"
"INRN","INTERROLL HOLDING AG","Equity","0.25","3,327.47","3,140.00","10,448,245.52","10,448,245.52","Industrials","CH0006372897","SIX Swiss Exchange","Switzerland","CHF"
"JUN3","JUNGHEINRICH PREF AG","Equity","0.23","44.83","219,879.00","9,856,956.79","9,856,956.79","Industrials","DE0006219934","Xetra","Germany","EUR"
"CGCBV","CARGOTEC CORP","Equity","0.23","53.34","183,814.00","9,804,454.95","9,804,454.95","Industrials","FI0009013429","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"CON","CONZZETA AG","Equity","0.22","1,385.99","6,711.00","9,301,352.99","9,301,352.99","Industrials","CH0244017502","SIX Swiss Exchange","Switzerland","CHF"
"DUE","DUERR AG","Equity","0.22","41.07","225,074.00","9,244,021.01","9,244,021.01","Industrials","DE0005565204","Xetra","Germany","EUR"
"5631","JAPAN STEEL WORKS LTD","Equity","0.21","26.38","340,300.00","8,978,510.41","8,978,510.41","Industrials","JP3721400004","Tokyo Stock Exchange","Japan","JPY"
"SSYS","STRATASYS LTD","Equity","0.21","35.89","248,926.00","8,933,954.14","8,933,954.14","Information Technology","IL0011267213","NASDAQ","United States","USD"
"YEXT","YEXT INC","Equity","0.21","18.24","489,448.00","8,927,531.52","8,927,531.52","Information Technology","US98585N1063","New York Stock Exchange Inc.","United States","USD"
"IFCN","INFICON HOLDING AG","Equity","0.21","1,110.99","7,963.00","8,846,804.53","8,846,804.53","Information Technology","CH0011029946","SIX Swiss Exchange","Switzerland","CHF"
"KAI","KADANT INC","Equity","0.21","167.06","51,889.00","8,668,576.34","8,668,576.34","Industrials","US48282T1043","New York Stock Exchange Inc.","United States","USD"
"5269","ASMEDIA TECHNOLOGY INC","Equity","0.20","59.79","143,448.00","8,577,053.49","8,577,053.49","Information Technology","TW0005269005","Taiwan Stock Exchange","Taiwan","TWD"
"ATA","ATS AUTOMATION TOOLING SYSTEMS INC","Equity","0.20","22.60","370,359.00","8,370,694.04","8,370,694.04","Industrials","CA0019401052","Toronto Stock Exchange","Canada","CAD"
"MOCORP","METSO OUTOTEC CORP","Equity","0.20","11.46","718,802.00","8,238,781.84","8,238,781.84","Industrials","FI0009014575","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"FARO","FARO TECHNOLOGIES INC","Equity","0.18","93.98","81,254.00","7,636,250.92","7,636,250.92","Information Technology","US3116421021","NASDAQ","United States","USD"
"DOMO","DOMO INC CLASS B","Equity","0.17","67.94","106,860.00","7,260,068.40","7,260,068.40","Information Technology","US2575541055","NASDAQ","United States","USD"
"TNE","TECHNOLOGY ONE LTD","Equity","0.17","6.63","1,091,785.00","7,236,115.70","7,236,115.70","Information Technology","AU000000TNE8","Asx - All Markets","Australia","AUD"
"JPY","JPY CASH","Cash","0.17","0.94","759,217,157.00","7,166,820.76","7,166,820.76","Cash and/or Derivatives","-","-","Japan","JPY"
"3406","GENIUS ELECTRONIC OPTICAL LTD","Equity","0.17","17.81","399,509.00","7,116,027.65","7,116,027.65","Information Technology","TW0003406005","Taiwan Stock Exchange","Taiwan","TWD"
"ZUO","ZUORA INC CLASS A","Equity","0.16","16.68","412,060.00","6,873,160.80","6,873,160.80","Information Technology","US98983V1061","New York Stock Exchange Inc.","United States","USD"
"7732","TOPCON CORP","Equity","0.15","12.54","501,814.00","6,290,734.81","6,290,734.81","Information Technology","JP3630400004","Tokyo Stock Exchange","Japan","JPY"
"6707","SANKEN ELECTRIC LTD","Equity","0.15","52.39","118,089.00","6,186,755.56","6,186,755.56","Information Technology","JP3329600005","Tokyo Stock Exchange","Japan","JPY"
"3443","GLOBAL UNICHIP CORP","Equity","0.15","17.18","359,000.00","6,168,872.21","6,168,872.21","Information Technology","TW0003443008","Taiwan Stock Exchange","Taiwan","TWD"
"KARN","KARDEX HOLDING AG","Equity","0.14","217.14","27,454.00","5,961,301.95","5,961,301.95","Industrials","CH0100837282","SIX Swiss Exchange","Switzerland","CHF"
"HY","HYSTER YALE MATERIALS HANDLING INC","Equity","0.14","96.53","60,136.00","5,804,928.08","5,804,928.08","Industrials","US4491721050","New York Stock Exchange Inc.","United States","USD"
"CMCO","COLUMBUS MCKINNON CORP","Equity","0.13","50.18","111,884.00","5,614,339.12","5,614,339.12","Industrials","US1993331057","NASDAQ","United States","USD"
"900926","SHANGHAI BAOSIGHT SOFTWARE LTD B","Equity","0.13","3.89","1,385,084.00","5,385,206.59","5,385,206.59","Information Technology","CNE000000GG0","Shanghai Stock Exchange","China","USD"
"MLAB","MESA LABORATORIES INC","Equity","0.13","277.10","19,232.00","5,329,187.20","5,329,187.20","Health Care","US59064R1095","NASDAQ","United States","USD"
"MTSC","MTS SYSTEMS CORP","Equity","0.12","58.61","84,633.00","4,960,340.13","4,960,340.13","Information Technology","US5537771033","NASDAQ","United States","USD"
"KOMN","KOMAX HOLDING AG","Equity","0.11","264.66","16,998.00","4,498,645.69","4,498,645.69","Industrials","CH0010702154","SIX Swiss Exchange","Switzerland","CHF"
"ACP","ASSECO POLAND SA","Equity","0.10","17.80","248,656.00","4,425,721.14","4,425,721.14","Information Technology","PLSOFTB00016","Warsaw Stock Exchange/Equities/Main Market","Poland","PLN"
"2498","HTC CORP","Equity","0.09","1.03","3,737,385.00","3,858,647.18","3,858,647.18","Information Technology","TW0002498003","Taiwan Stock Exchange","Taiwan","TWD"
"7105","MITSUBISHI LOGISNEXT LTD","Equity","0.08","10.62","336,000.00","3,568,225.80","3,568,225.80","Industrials","JP3753800006","Tokyo Stock Exchange","Japan","JPY"
"3019","ASIA OPTICAL INC","Equity","0.08","3.26","1,090,000.00","3,550,284.60","3,550,284.60","Information Technology","TW0003019006","Taiwan Stock Exchange","Taiwan","TWD"
"056190","SFA ENGINEERING CORP","Equity","0.08","38.48","90,622.00","3,487,185.08","3,487,185.08","Industrials","KR7056190002","Korea Exchange (Kosdaq)","Korea (South)","KRW"
"6222","SHIMA SEIKI MFG LTD","Equity","0.07","21.91","143,694.00","3,148,286.91","3,148,286.91","Industrials","JP3356500003","Tokyo Stock Exchange","Japan","JPY"
"3632","GREE INC","Equity","0.07","5.44","573,600.00","3,118,833.25","3,118,833.25","Communication","JP3274070006","Tokyo Stock Exchange","Japan","JPY"
"6258","HIRATA CORP","Equity","0.07","62.96","48,300.00","3,041,119.55","3,041,119.55","Industrials","JP3795300007","Tokyo Stock Exchange","Japan","JPY"
"MTRN","MAYTRONICS LTD","Equity","0.07","16.02","189,745.00","3,039,989.60","3,039,989.60","Consumer Discretionary","IL0010910656","Tel Aviv Stock Exchange","Israel","ILS"
"6202","HOLTEK SEMICONDUCTOR INC","Equity","0.07","3.30","889,000.00","2,937,101.61","2,937,101.61","Information Technology","TW0006202005","Taiwan Stock Exchange","Taiwan","TWD"
"6104","SHIBAURA MACHINE LTD","Equity","0.06","27.01","100,240.00","2,707,194.41","2,707,194.41","Industrials","JP3592600005","Tokyo Stock Exchange","Japan","JPY"
"6875","MEGACHIPS CORP","Equity","0.06","31.25","84,600.00","2,643,375.65","2,643,375.65","Information Technology","JP3920860008","Tokyo Stock Exchange","Japan","JPY"
"6516","SANYO DENKI LTD","Equity","0.06","55.03","46,400.00","2,553,565.87","2,553,565.87","Industrials","JP3340800006","Tokyo Stock Exchange","Japan","JPY"
"6652","IDEC CORP","Equity","0.06","17.38","137,900.00","2,396,506.35","2,396,506.35","Industrials","JP3138800002","Tokyo Stock Exchange","Japan","JPY"
"7717","V TECHNOLOGY LTD","Equity","0.05","52.77","43,600.00","2,300,693.82","2,300,693.82","Information Technology","JP3829900004","Tokyo Stock Exchange","Japan","JPY"
"GBP","GBP CASH","Cash","0.05","140.98","1,459,811.00","2,058,041.21","2,058,041.21","Cash and/or Derivatives","-","-","United Kingdom","GBP"
"EUR","EUR CASH","Cash","0.05","121.23","1,694,732.00","2,054,439.46","2,054,439.46","Cash and/or Derivatives","-","-","European Union","EUR"
"5471","SONIX TECHNOLOGY LTD","Equity","0.05","3.02","636,000.00","1,920,801.54","1,920,801.54","Information Technology","TW0005471007","Taiwan Stock Exchange","Taiwan","TWD"
"6877","OBARA GROUP INC","Equity","0.04","35.92","52,143.00","1,872,885.40","1,872,885.40","Industrials","JP3197650009","Tokyo Stock Exchange","Japan","JPY"
"3035","FARADAY TECHNOLOGY CORP","Equity","0.04","1.94","859,000.00","1,662,690.10","1,662,690.10","Information Technology","TW0003035002","Taiwan Stock Exchange","Taiwan","TWD"
"TWD","TWD CASH","Cash","0.02","3.59","24,618,859.00","884,091.68","884,091.68","Cash and/or Derivatives","-","-","Taiwan","TWD"
"SEK","SEK CASH","Cash","0.02","12.03","6,207,374.00","746,891.06","746,891.06","Cash and/or Derivatives","-","-","Sweden","SEK"
"CHF","CHF CASH","Cash","0.01","110.00","342,647.00","376,908.02","376,908.02","Cash and/or Derivatives","-","-","Switzerland","CHF"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash Collateral and Margins","0.01","100.00","373,000.00","373,000.00","373,000.00","Cash and/or Derivatives","-","-","United States","USD"
"KRW","KRW CASH","Cash","0.01","0.09","396,662,118.00","356,630.36","356,630.36","Cash and/or Derivatives","-","-","Korea (South)","KRW"
"MARGIN_KRW","FUTURES KRW MARGIN BALANCE","Cash Collateral and Margins","0.00","0.09","218,705,950.00","196,633.81","196,633.81","Cash and/or Derivatives","-","-","Korea (South)","KRW"
"BRL","BRL CASH","Cash","0.00","18.43","1,051,571.00","193,804.03","193,804.03","Cash and/or Derivatives","-","-","Brazil","BRL"
"AUD","AUD CASH","Cash","0.00","79.18","202,377.00","160,252.00","160,252.00","Cash and/or Derivatives","-","-","Australia","AUD"
"ILS","ILS CASH","Cash","0.00","30.64","494,064.00","151,379.36","151,379.36","Cash and/or Derivatives","-","-","Israel","ILS"
"CAD","CAD CASH","Cash","0.00","79.58","189,749.00","151,008.28","151,008.28","Cash and/or Derivatives","-","-","Canada","CAD"
"PLN","PLN CASH","Cash","0.00","26.89","497,842.00","133,849.95","133,849.95","Cash and/or Derivatives","-","-","Poland","PLN"
"HKD","HKD CASH","Cash","0.00","12.90","780,812.00","100,690.79","100,690.79","Cash and/or Derivatives","-","-","Hong Kong","HKD"
"MYR","MYR CASH","Cash","0.00","24.74","83,638.00","20,689.64","20,689.64","Cash and/or Derivatives","-","-","Malaysia","MYR"
"CZK","CZK CASH","Cash","0.00","4.66","251,452.00","11,725.75","11,725.75","Cash and/or Derivatives","-","-","Czech Republic","CZK"
"HUF","HUF CASH","Cash","0.00","0.34","3,152,247.00","10,629.81","10,629.81","Cash and/or Derivatives","-","-","Hungary","HUF"
"ZAR","ZAR CASH","Cash","0.00","6.85","156,191.00","10,698.92","10,698.92","Cash and/or Derivatives","-","-","South Africa","ZAR"
"MXN","MXN CASH","Cash","0.00","4.89","206,869.00","10,107.19","10,107.19","Cash and/or Derivatives","-","-","Mexico","MXN"
"TRY","TRY CASH","Cash","0.00","13.87","64,908.00","9,002.34","9,002.34","Cash and/or Derivatives","-","-","Turkey","TRY"
"DKK","DKK CASH","Cash","0.00","16.30","25,344.00","4,131.28","4,131.28","Cash and/or Derivatives","-","-","Denmark","DKK"
"NZD","NZD CASH","Cash","0.00","73.90","5,966.00","4,409.09","4,409.09","Cash and/or Derivatives","-","-","New Zealand","NZD"
"NOK","NOK CASH","Cash","0.00","11.84","35,105.00","4,156.26","4,156.26","Cash and/or Derivatives","-","-","Norway","NOK"
"SGD","SGD CASH","Cash","0.00","75.75","5,238.00","3,967.71","3,967.71","Cash and/or Derivatives","-","-","Singapore","SGD"
"AED","AED CASH","Cash","0.00","27.22","14,103.00","3,839.59","3,839.59","Cash and/or Derivatives","-","-","United Arab Emirates","AED"
"MESH1","MSCI EMER MKT INDEX (ICE) MAR 21","Futures","0.00","1,388.00","86.00","0.00","5,968,400.00","Cash and/or Derivatives","-","Ice Futures U.S.","-","USD"
"TWD","TWD/USD","FX","0.00","1.00","-15,155,300.00","-68.40","-68.40","Cash and/or Derivatives","-","-","United States","USD"
"JPY","JPY/USD","FX","0.00","1.00","-730,555,200.00","-55.14","-55.14","Cash and/or Derivatives","-","-","United States","USD"
"EUR","EUR/USD","FX","0.00","1.00","-1,554,725.00","-18.66","-18.66","Cash and/or Derivatives","-","-","United States","USD"
"GBP","GBP/USD","FX","0.00","1.00","-709,538.00","-9.93","-9.93","Cash and/or Derivatives","-","-","United States","USD"
"BRL","BRL/USD","FX","0.00","1.00","-515,746.00","-9.63","-9.63","Cash and/or Derivatives","-","-","United States","USD"
"KRW","KRW/USD","FX","0.00","1.00","-30,014,400.00","-6.06","-6.06","Cash and/or Derivatives","-","-","United States","USD"
"SEK","SEK/USD","FX","0.00","1.00","-5,119,122.00","-4.89","-4.89","Cash and/or Derivatives","-","-","United States","USD"
"CHF","CHF/USD","FX","0.00","1.00","-256,446.00","-2.17","-2.17","Cash and/or Derivatives","-","-","United States","USD"
"ILS","ILS/USD","FX","0.00","1.00","-331,736.00","-1.02","-1.02","Cash and/or Derivatives","-","-","United States","USD"
"AUD","AUD/USD","FX","0.00","1.00","-66,557.00","-0.53","-0.53","Cash and/or Derivatives","-","-","United States","USD"
"CAD","CAD/USD","FX","0.00","1.00","-79,227.00","-0.52","-0.52","Cash and/or Derivatives","-","-","United States","USD"
"PLN","PLN/USD","FX","0.00","1.00","-121,888.00","-0.26","-0.26","Cash and/or Derivatives","-","-","United States","USD"
"MARGIN_JPY","FUTURES JPY MARGIN BALANCE","Cash Collateral and Margins","0.00","0.94","-12.00","-0.11","-0.11","Cash and/or Derivatives","-","-","Japan","JPY"
"USD","USD CASH","Cash","-0.19","100.00","-8,144,467.00","-8,144,466.53","-8,144,466.53","Cash and/or Derivatives","-","-","United States","USD"
 
